SKU,Description,CP,SP,Color,Quantity,Size,
LM00044,Old ,415,799,"Grey Brown 4, Orange Blue 3, Blue Brown 3, Dark and light Blue 3, Dark and Light Pink 2, Blue White 3",18,0-6 M,
LM00553,Richa Booties ,150,299,"Purple 2, Darl Blue 2, Sky Blue 2, Grey 2, Brown 2",12,0-6 M,
LM00554,Baby Starter Set 10 Pcs ,1895,3499,"Papa 2, Mama 2, LIttle Friends 2",6,NB,
LM00555,Swaddle Blanket ,1370,2599,"Red, Blue, White, Pink ",4,0-6M,
LM00556,Box Starter Set 9Pcs ,2600,4999,"Blue, Pink ",2,NB,
LM00557,Baby Night Suit ,1028,1999,"Purple Cherry ( 73 (2), 80 (2), 90 (2)), Kulomi Purple ( 73 (2), 80 (2), 90 (2)), Bear (( 73 (3), 80 (3), 90 (3))",21,"73 (6-9 M)
80 (9-12M)
90 (12-18M)
",
LM00558,Carter Socks Pack of 3,181,399,Mix ,,0-12 M,
LM00559,Jian Baby Socks Pack of 3 ,300,599,"Girls 16, Boys 28",44,,
LM00560,Kids Towel Socks ,140,299,"2 Mustard, 6 dark Brown, 2 Blue, 2 Black, Grey 6",20,1-4 Y,
LM00561,Baby Socks Pack of 3 ,220,399,"I love Baba 4, I Love Mama 4 ",8,0-6 M,
LM00562,Baby Fleece Winter Cap,335,699,"Grey, Red, Black, Blue, Brown, White (All 8 each)",48,,
LM00563,Baby Fleece Quilted Caps ,408,799,"Blue 6, Pink 5, Mustard 4, Brown 5, Red 4 ",24,3-9 M,
LM00564,Baby Fleece Winter Caps,358,699,"Yellow 4, Blue 4, Peach 6, Baby Pink 5, Dark Pink 5 ",24,3-9 M,
LM00565,Kids Quilted Caps ,390,799,"Pink 4, Orange 2, Brown 4, Yellow 4, Red 4, Blue 6",24,12 - 24M,
LM00566,Baby Booty and Mitten Set,190,399,"Pink 3, Peach 3, Blue 3, Green 3 ",12,0-6 M,
LM00567,Baby Quilt,1650,3299,"Strawberry 3, Heart 3, Green Rabbit 3, Pink Rabbit 3, Blue Rabit 1",13,45*55,
